Time [s],Proposed_system,Standard
398.0,76,140
399.0,76,140
400.0,76,140
401.0,75,140
402.0,75,140
403.0,75,140
404.0,75,140
405.0,71,140
406.0,71,140
407.0,71,140
408.0,70,140
409.0,69,140
410.0,69,139
411.0,70,141
412.0,70,141
413.0,71,143
414.0,71,143
415.0,73,144
416.0,74,145
417.0,74,146
418.0,75,146
419.0,75,148
420.0,76,148
421.0,75,149
422.0,75,149
423.0,73,149
424.0,73,148
425.0,73,149
426.0,72,149
427.0,72,147
428.0,72,147
429.0,72,147
430.0,72,147
431.0,72,147
432.0,72,146
433.0,71,146
434.0,71,146
435.0,71,145
436.0,71,146
437.0,71,147
438.0,72,146
439.0,73,148
440.0,73,148
441.0,72,149
442.0,72,149
443.0,72,150
444.0,72,150
445.0,72,151
446.0,72,151
447.0,73,150
448.0,74,151
449.0,75,150
450.0,75,149
451.0,76,149
452.0,76,150
453.0,76,150
454.0,74,148
455.0,75,149
456.0,74,149
457.0,74,148
458.0,75,147
459.0,74,147
460.0,75,149
461.0,77,150
462.0,76,150
463.0,77,149
464.0,77,150
465.0,79,151
466.0,77,151
467.0,79,151
468.0,77,149
469.0,77,147
470.0,75,146
471.0,75,147
472.0,74,145
473.0,74,145
474.0,72,145
475.0,72,144
476.0,71,143
477.0,70,143
478.0,68,142
479.0,68,141
480.0,68,141
481.0,69,140
482.0,67,140
483.0,66,141
484.0,67,139
485.0,69,140
486.0,69,140
487.0,67,141
488.0,67,142
489.0,68,142
490.0,69,141
491.0,69,141
492.0,69,143
493.0,68,144
494.0,68,143
495.0,68,143
496.0,69,144
497.0,69,144
498.0,69,144
499.0,68,144
500.0,68,144
501.0,65,144
502.0,66,145
503.0,67,146
504.0,68,147
505.0,69,148
506.0,69,147
507.0,69,147
508.0,69,146
509.0,69,146
510.0,68,146
511.0,67,145
512.0,65,145
513.0,65,145
514.0,64,145
515.0,63,145
516.0,63,145
517.0,63,145
518.0,62,145
519.0,62,145
520.0,62,145
521.0,62,144
522.0,61,144
523.0,61,144
524.0,61,144
525.0,61,144
526.0,61,144
527.0,58,144
528.0,57,144
529.0,57,145
530.0,57,143
531.0,55,143
532.0,56,145
533.0,56,145
534.0,58,146
535.0,57,146
536.0,58,145
537.0,60,144
538.0,61,145
539.0,61,144
540.0,62,144
541.0,62,144
542.0,63,145
543.0,62,146
544.0,63,147
545.0,63,147
546.0,63,148
547.0,63,146
548.0,61,145
549.0,61,145
550.0,60,144
551.0,60,143
552.0,57,143
553.0,56,142
554.0,54,142
555.0,55,142
556.0,57,145
557.0,58,147
558.0,58,150
559.0,59,149
560.0,56,151
561.0,58,151
562.0,58,150
563.0,57,148
564.0,58,147
565.0,58,146
566.0,58,146
567.0,58,144
568.0,58,144
569.0,59,143
570.0,59,143
571.0,59,144
572.0,59,144
573.0,59,143
574.0,59,143
575.0,59,143
576.0,59,143
577.0,57,144
578.0,58,144
579.0,58,143
580.0,58,145
581.0,59,148
582.0,61,148
583.0,61,148
584.0,62,149
585.0,62,149
586.0,63,148
587.0,62,149
588.0,63,147
589.0,63,148
590.0,63,150
591.0,65,151
592.0,65,150
593.0,65,150
594.0,64,150
595.0,64,149
596.0,65,148
597.0,65,148
598.0,65,146
599.0,65,146
600.0,65,146
601.0,65,145
602.0,65,142
603.0,65,142
604.0,65,141
605.0,67,143
606.0,69,145
607.0,71,146
608.0,71,145
609.0,71,145
610.0,71,145
611.0,71,146
612.0,73,146
613.0,72,146
614.0,70,146
615.0,71,144
616.0,71,143
617.0,69,142
618.0,70,140
619.0,69,141
620.0,68,142
621.0,68,140
622.0,68,140
623.0,68,140
624.0,66,140
625.0,66,140
626.0,65,139
627.0,64,139
628.0,62,138
629.0,63,140
630.0,63,140
631.0,63,141
632.0,64,141
633.0,66,141
634.0,65,142
635.0,66,143
636.0,67,143
637.0,66,143
638.0,69,144
639.0,69,143
640.0,70,145
641.0,71,145
642.0,73,145
643.0,73,146
644.0,74,147
645.0,75,147
646.0,74,148
647.0,74,149
648.0,74,150
649.0,74,149
650.0,74,149
651.0,74,149
652.0,74,149
653.0,77,150
654.0,77,151
655.0,78,151
656.0,79,152
657.0,79,150
658.0,79,150
659.0,79,150
660.0,79,149
661.0,78,149
662.0,76,149
663.0,74,149
664.0,74,149
665.0,72,149
666.0,71,148
667.0,70,148
